,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,
#,AntiGravityResearchGrants,Anti-Gravity Research Grants,research,"While expensive and elusive, Anti-Gravity Research could lead to new means of transport, radically reducing the costs involved in shipping goods from one place to another.",,10,20,2,2,TRANSPORT,240,3200,,20,0,0,,#Effects,"Unemployment,0.00-(0.02*x),2","Technology,0.02+(0.05*x),5","WorkerProductivity,0.03+(0.05*x),8",,"TrafficCongestion,0-(0.17*x),8",,,
#,AntibioticsBan,Antibiotics Ban,default,"Ranchers and farmers have been feeding antibiotics to livestock since they discovered decades ago that small doses of antibiotics administered daily make most animals gain additional weight. Although conclusive evidence directly linking the use of drugs in food animals to an increase in drug-resistant bacteria has not been uncovered, a number of recent studies suggesting such a link concern many scientists. Banning antibiotics leads to decreased meat production but ensures consumer safety.",,5,10,5,5,WELFARE,20,50,,2,0,0,,#Effects,"Health,0.01+(0.04*x),8","FoodPrice,0.05+(0.10*x),16","Environmentalist,0.05+(0.05*x)","Capitalist,-0.01-(0.04*x)",,,,
#,AsteroidMiningLaw,Asteroid Mining,asteroidmining,"Asteroids contain metals rare on earth, such as platinum, potentially worth trillions of dollars. Technology reduces the cost of this policy, while industrial automation drastically increases income.",,20,10,5,5,PUBLICSERVICES,500,20000,"_default_,1.0;Technology,0+(-0.9*x)",16,0,100000,"_default_,1.0;IndustrialAutomation,-1+(x^10)",#Effects,"Technology,0.2+(0.1*x),16","IndustrialAutomation,0.2+(0.1*x),16","Unemployment,-0.04-(0.06*x)","StateEmployees,0.035+(0.075*x)","Patriot,0.05+(0.20*x)","Patriot_freq,0.05+(0.15*x)","Rareearthcrisis,0-(x^2)/2",
#,AutomationTax,Automation Tax,tax,"Technological innovation has led to brilliant inventions. The dark side of industrial automation is that it is leading to job loss. Less jobs mean less income tax. To make up for the loss in state income, the economy ministry has designed an automation tax, to be paid by the most advanced companies.",,5,5,5,2,TAX,0,0,,1,150,7400,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x);IndustrialAutomation,0.2+(0.8*x)",#Effects,"Capitalist,0-(0.07*x)","Capitalist_income,0-(0.03*x),8","TradeUnionist,0.0+(0.07*x)","Technology,-0.03-(0.06*x),8","IndustrialAutomation,-0.05-(0.15*x)","CorporateExodus,0.05+(0.1*x)","BrainDrain,0.02+(0.08*x)",
#,ClimateChangeAdaptionFund,Climate Change Adaption Fund,floodawareness,"Global warming has lead to increased frequency and severity of natural disasters. The Climate Change Adaption Fund finances large-scale projects from dams to weather satellites, from reforesting to water reservoirs. It might be expensive, but environmentalists and farmers call for this policy.",,10,10,5,5,ECONOMY,4500,16000,"GDP,0.75+(0.25*x)",18,0,0,,#Effects,"Unemployment,0-(0.1*x),18","Farmers,0+(0.2*x)","Poor,0+(0.2*x)","Environmentalist,0.04+(0.06*x)","Environmentalist_freq,0+(0.04*x),6",,,
#,DriverlessCarLaws,Driverless Car Laws,driverless,Driverless car technology is booming. The manufacturers are encouraging the government to allow their use on public roads.,,5,15,10,10,TRANSPORT,10,200,"GDP,0.25+(0.25*x);CarUsage,0+(0.5*x)",2,0,0,,#Effects,"Motorist,0.02+(0.05*x)","Commuter,0.1+(0.1*x),2","Commuter_freq,0.1+(0.1*x),8","Unemployment,0.02+(0.04*x),12","BusUsage,-0.1-(0.15*x),12","RailUsage,-0.1-(0.15*x),12","Technology,0.02+(0.03*x),12","TrafficCongestion,-0.1-(0.2*x),16"
#,DroneStrikeAct,Drone Strike Act,dronestrikes,Global terrorism threatens our country. Drone strikes on foreign grounds are a safe way to prevent terror organisations from reaching their full potential. Patriots are calling for surgical strikes on terror leaders while liberals regard those as unethical.,,5,10,2,2,FOREIGNPOLICY,100,2000,,3,0,0,,#Effects,"Liberal,0-(0.2*x)^2","Patriot,0+(0.25*x)","_Terrorism,-0.1-(0.05*x),6","ForeignRelations,0-(0.4*x)",,,,
#,ElectricCarsInitiative,Electric Cars Initiative,electriccars,The introduction of a standardized nation-wide recharging system for electric cars has lead to increased sales of such vehicles. Encouraging the acquisition of electric cars reduces our countries dependence on oil. Environmentalists are happy about every car that does not emit carbon dioxide.,,10,15,5,5,TRANSPORT,1000,3000,"_default_,0.2;CarUsage,0+(0.8*x)",12,0,0,,#Effects,"OilDemand,-0.04-(0.2*x) *CarUsage,12","Motorist,0.01+(0.03*x)","CO2Emissions,0-(0.08*x),4","Environmentalist_income,0+(0.05*x),4","Environment,0.03+(0.14*x)*CarUsage,16","Environmentalist_freq,0+(0.05*x),8",,
#,ElectronicDirectDemocracy,Electronic Direct Democracy,directdemocracy,Electronic direct democracy is a form of  democracy that utilizes the internet to facilitate public participation. Liberals have been calling for it for decades but state employees are wary. The policy is also more popular with younger net-savvy voters than the elderly.,,50,50,20,20,LAWANDORDER,30,200,"GDP,0.5+(0.5*x)",6,0,0,,#Effects,"_All_,0.0+(0.03*x)","StateEmployees,-0.025-(0.045*x)","StateEmployees_freq,0.0-(0.035*x),8","Liberal,0.1+(0.05*x)","Young,0.05+(0.05*x)","Retired,-0.05-(0.05*x)",,
#,FarmlandAcquisitionProgram,Farmland Acquisition Program,default,"We have to acquire fertile lands to stabilize the food supply of our country. The ministry for foreign affairs brokers deals with developing nations. Our expenses support nations stuck in poverty, while the crops we can grow on those country's fertile soil reduce the food price significantly. Environmentalists and Liuberals liken it to new colonialism.",,15,15,10,10,FOREIGNPOLICY,2400,6600,"_default_,1.0;ForeignRelations,0-(0.15*x)",6,0,0,,#Effects,"FoodPrice,0.02-(0.18*x),8","InternationalTrade,0.05+(0.05*x)","ForeignRelations,0-(0.2*x)","Patriot,0+(0.2*x)","Farmers_freq,-0.02-(0.03*x),3","Farmers_income,0-(0.05*x),14","Liberal,-0.05-(0.05*x)",
#,GreenElectronicsInitiative,Green Electronics Initiative,default,"The goal of the Green Electronics Initiative is to reduce electronic waste. From cleaner mining operations to upcycling projects, a broad array of measures should make the digital world a cleaner place.",,10,15,5,5,ECONOMY,80,240,"_default_,0.5;Technology,0.5*(x^2)",6,0,0,,#Effects,"Environmentalist,0.025+(0.012*x)","CO2Emissions,-0.08*(x^0.6),8","EnergyEfficiency,0.+(0.08*x)","Pollution,0-(0.05*x)","Capitalist,0-(0.05*x)",,,
