t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,,,,
#,CoalPower,Coal Power,percent,"High output, bad for the environment and CO2 emissions.",,0,5,1,1,ECONOMY,20,2500,,1,0,0,,#Effects,"PowerSurplus,0+(1*x)","Environment,-1*(GDP*x)","CO2Emissions,1*(GDP*x)","Environmentalist,0-(0.2*x)",,,,,,,,,,
#,AgricultureSubsidies,Agriculture Subsidies,default,"-FoodPrice, -Unemployment, Rural_freq, HighIncome, Wealthy;  For strategic reasons some governments are happy to pay subsidies to Rural to ensure the security of the nation's food supply. This goes against free market economics and can also be very expensive, but it does safeguard jobs (and votes) in agricultural communities.",,5,2,1,1,ECONOMY,120,800,,4,0,0,,#Effects,"FoodPrice,-0.05-(0.25*x),6","Unemployment,-0.01-(0.19*x)","Environment,0-0.15*(GDP*x)","Farmers_freq,0.02+(0.18*x),4","_HighIncome,0+(0.25*x)","Wealthy,0+(0.15*x)","Environmentalist,0-(0.2*x)",,,,,,,
#,BusinessStartupCampaign,Business Startup Campaign,default,"SelfEmployed, SelfEmployed_freq, Capitalism, Capitalist;  Many people have brilliant ideas, yet only a few of them dare to take the steps neccessary to set up their own little business around their idea. This campaign will help these people out, informs them what they need to do, where they need to go and what permits they need to get. This will help a great deal and make self employed people happy.",,5,2,0,0,ECONOMY,20,75,,1,0,0,,#Effects,"SelfEmployed,0.1+(0.03*x)","SelfEmployed_freq,0+(0.12*x),16","_global_socialism,0-(0.05*x),16","Capitalist,0+(0.03*x),4",,,,,,,,,,
#,ForeignInvestorTaxBreaks,Foreign Investment Incentives,default,"GDP, HighIncome, -Fearful;  Foreign investment involves capital flows from one country to another, granting extensive ownership stakes in domestic companies and assets. Foreign investment denotes that foreigners have an active role in management as a part of their investment. A modern trend leans toward globalization, where multinational firms have investments in a variety of countries.",,5,2,0,0,ECONOMY,600,6000,"_default_,1.0;GDP,-0.9+(1.5*x)",1,0,0,,#Effects,"GDP,0.2+(0.2*x),4","_HighIncome,0.2+(0.2*x)","Patriot,-0.3-(0.2*x)",,,,,,,,,,,
#,NationalBusinessCouncil,National Business Council,default,"Capitalist, GDP;  The establishment of a national business council gives a strong voice to business interests and ensures that the needs of business, both big and small are taken into account. The council serves as a way to promote capitalism and enterprise and get accross the message that the corporate world has much to offer, creates employment and prosperity.",,5,2,0,0,ECONOMY,40,160,,1,0,0,,#Effects,"Capitalist,0.02+(0.04*x)","GDP,0.01+(0.02*x),24",,,,,,,,,,,,
#,YoungEntrepreneurScheme,Young Entrepreneur Scheme,default,"Capitalist, Young, Capitalism;  This Scheme is to help and support young people who are aiming to become businessmen in the future. By giving them opportunities to learn from veterans and detailed information about what to do and who to ask, this will increase happiness amongst capitalists, as they see their future secured.",,5,2,0,0,ECONOMY,20,80,,1,0,0,,#Effects,"Capitalist,0.03+(0.03*x)","Young,0+(0.04*x)","_global_socialism,0-(0.05*x),24",,,,,,,,,,,
#,ConsumerRights,Consumer Rights,consumerrights,"Health, LowIncome, MiddleIncome, -GDP, Liberal, -Capitalist, -SelfEmployed;  At a minimum level, the state guarantees that the consumer is not totally ripped off, at the other end of the spectrum, draconian legislation can benefit the consumer at the expense of business. Companies often complain about the amount of legislation governing selling to the public.",,10,2,1,1,ECONOMY,5,8,,1,0,0,,#Effects,"Health,0.01+(0.04*x),12","PovertyRate,-0.05-(0.05*x)","_LowIncome,0.05+(0.05*x)","_MiddleIncome,0.01+(0.04*x)","GDP,-0.04*(x^4)","Liberal,0+(0.05*x)","Capitalist,0-(0.2*x)","SelfEmployed,0.00-(0.1*x)",,,,,,
#,EnterpriseInvestmentScheme,Enterprise Investment Scheme,default,"SelfEmployed_income, SelfEmployed_freq, SelfEmployed, HighIncome, Wealthy, GDP, Capitalist, Capitalism;  The Enterprise Investment Scheme is a system which gives tax breaks to wealthy individuals who invest their money in small startup companies which are based in this country. The scheme encourages investment in companies which should eventually grow and stimulate the economy, whilst at the same time giving a popular tax break to people who invest in them. Obviously indirectly, the scheme is being subsidized by those without savings to invest.",,10,2,0,0,ECONOMY,120,2000,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"SelfEmployed_income,0.01+(0.09*x)","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed,0.10+(0.2*x)","_HighIncome,0+(0.12*x)","Wealthy,0+(0.05*x)","GDP,0.01+(0.05*x),16","Capitalist,0+(0.05*x)","_global_socialism,0-(0.05*x),12",,,,,,
#,GasPower,Gas Power,utility,"Price reduced 50% by technology. Moderate output, increases oil demand, moderately bad for environment and CO2 emissions.",,10,5,1,1,ECONOMY,20,5000,"_default_,1.0;Technology,0-(0.5*x)",4,0,0,,#Effects,"PowerSurplus,0+(0.5*x)","Environment,-0.25*(GDP*x)","CO2Emissions,0.25*(GDP*x)","OilDemand,0.25*(GDP*x)","Technology,0.04+(0.01*x),16","Environmentalist,0-(0.1*x)",,,,,,,,
#,LabourLaws,Labor Laws,labourlaws,"Wages, -TradeUnionist_freq, -TradeUnionist, -Capitalist;  Labor laws are basically restrictions on a worker's right to strike. Capitalists argue that such restrictions are vital to prevent key workers such as power station workers, policemen and train drivers from holding the country to ransom. Trade unionists consider the right to strike to be fundamental and not open to negotiation.",,10,2,2,2,ECONOMY,100,160,,1,0,0,,#Effects,"Wages,0+(1*x)","TradeUnionist_freq,-1+(2*x)","TradeUnionist,0.2-(x-1)^2","Capitalist,0.2-(x)^2",,,,,,,,,,
#,RentControls,Rent Controls,default,"LowIncome,0.1*(PrivateHousing*x), MiddleIncome,0.05*(PrivateHousing*x), -PovertyRate, -PrivateHousing, Socialist, -Capitalist;  An alternative to state-housing is a system where the state will regulate the private-rental market in a bid to ensure the supply of affordable housing for all, even within the private sector. Capitalists will naturally see this as a distortion of the free market that will prevent enough homes being built, whereas supporters will say it prevents exploitation of the poor by greedy landlords.",,10,2,1,1,ECONOMY,10,12,,1,0,0,,#Effects,"_LowIncome,0.1*(PrivateHousing*x)","_MiddleIncome,0.05*(PrivateHousing*x)","PovertyRate,-0.1*(PrivateHousing*x)","PrivateHousing,-0.05-(0.45*x),4","Socialist,0.05+(0.05*x)","Capitalist,0-(0.5*x)",,,,,,,,
