,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,,,,,,
#,_DirtRoads,Roads Needed,We need to build roads to effectively transport people and goods.,TRANSPORT,icons_roadbuilding.dds,We need to build roads to effectively transport people and goods.,DirtRoads Ends,0,0.99,0.4,0,0,"_default_,1.0",,"RoadBuilding,-0.1-(1.1*x)",#,"Commuter,0-(0.25*x)","Motorist,0-(0.25*x)","GDP,0-(1*x)","CarUsage,-0.1-(0.1*x)",,,,,,,,,,,
#,_Militia,Police Needed,"A civilian militia provides some security, though less effectively than an organized military or police force.",LAWANDORDER,icons_policeforce.dds,"A civilian militia provides some security, though less effectively than an organized military or police force.",Militia Ends,0,0.75,0.25,0,0,,,"CrimeRate,0+(x*1),4","ViolentCrimeRate,0+(x*1),4","PoliceForce,0-(0.5*x),8","MilitarySpending,0-(0.25*x),8","HandgunLaws,0-(1*x),8",#,"CrimeRate,0-(0.5*x)","ViolentCrimeRate,0-(0.6*x)","_All_,0-(0.4*x)","Conservatives,0-(0.25*x)",,,,,,,
#,_NewColony,New Colony,New Colony,FOREIGNPOLICY,icons_immigration.dds,NewColony Starts,NewColony Ends,1,0.05,0.04,0,10000,"_year,1-(0.15*x)",,#,"_All_,0+(x^0.6)","Unemployment,0-(x^2)","Environment,0.6*(x^2)","Wages,0.3*(x^2)","CO2Emissions,-0.6*(x^2)",,,,,,,,,,,
#,_WeaponLawNeeded,Weapon Law Needed,We need to determine what types of weapons civilians can use.,LAWANDORDER,icons_handgunlaws.dds,We need to determine what types of weapons civilians can use.,WeaponLawNeeded Ends,0,0.99,0.4,0,0,"_default_,1.0",,"HandgunLaws,-2+(0*x)",#,"Liberal,0-(0.25*x)","Conservatives,0-(0.25*x)","Patriot,0-(0.25*x)",,,,,,,,,,,,
#,AccurateWeatherForecasts,Weather Prediction Technology,"New developments in satellite technology and quantum computing have lead to predictable weather forecasts. Farmers profit most from this development, but the tourism industry will also benefit through better event scheduling and preparation.",PUBLICSERVICES,sit_icons_weatherprediction.dds,Scientists announced that recent breakthroughs in quantum computing will lead to more accurate weather reports than ever.,Recent changes in weather behavior pose new challenges for simulation. Weather reports have returned to traditional arbitrariness.,1,0.6,0.4,0,0,,,"_prereq_,SpaceProgram","Technology,0+(0.12*x),8","SpaceProgram,0+(0.4*x),24","MilitarySpending,0.1*(x^3),12","_year,0+(0.02*x)",#,"Farmers,0.23+(0.06*x)","_All_,0.03+(0.04*x)","Tourism,0+(0.15*x)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Antibiotics-ResitantBacteria,Antibiotics-Resistant Bacteria,"Antibiotic resistance has become a significant problem. The over-use of antibiotics in both healthcare and the food chain has led to a range of antibiotic resistant bacteria, bringing back illness and disease that we had once considered cured.",WELFARE,sit_icons_antibioticresistance.dds,The WHO has issued a worldwide warning of outbreaks of antibiotics-resistant bacteria.,New inventions in medicine have reduced the dependence on antibiotics.,0,0.6,0.4,0,0,"_default_,0.1",,"Environment,0-(0.2*x)","_Lifespan,0+(0.3*x)","AntibioticsBan,-0.2-(0.4*x),8","Technology,0+(0.2*x),4","_year,0+(0.005*x)",#,"Parents,-0.4-(0*x)","Health,0-(0.21*x)",,,,,,,,,
#,AntisocialBehaviour,Antisocial Behavior,"Vandalism, public nuisance, petty street crime, these are all the results of an antisocial 'loutish' behavior that has become commonplace on our streets. Often linked to consumption of alcohol, and not helped by insufficient levels of police on the streets, Antisocial behavior causes stress for many of our citizens.",LAWANDORDER,sit_icons_antisocialbehaviour.dds,Police chiefs and community leaders have reported a widespread problem of antisocial behavior. ,Crime statisticians are pleased to report that the extent of antisocial behavior in our nation has fallen considerably and it is no longer a major cause of crime.,0,0.6,0.4,0,0,"_default_,0",,#,,,,,,,,,,,,,,,,
#,ArmedReligiousCommunities,Armed Religious Communities,"Some religious communities all over the country have begun to arm themselves and take justice into their own hands. This situation causes concern and unrest amongst both moderate religious people, and non-believers, leading to a rise in sectarian violence and criminal behavior.",LAWANDORDER,sit_icons_armedreligiouscommunities.dds,Some religious communities all over the country have begun to arm themselves and take justice into their own hands.,"After raising awareness and having an open dialogue, the majority of the armed communities have been pacified and disarmed, no longer posing a threat to others.",0,0.7,0.5,0,0,,,"CrimeRate,0+(0.4*x)","HandgunLaws,0.3-(0.6*x),4","Religious,0.1-(x*1)*Religious_perc",#,"_Terrorism,0.04+(0.08*x),2","RacialTension,0+(0.3*x),2","ViolentCrimeRate,0+(0.1*x)","Tourism,0-(0.03*x),3",,,,,,,,,
#,ArmedRobbery,Armed Robbery,"Our country is seen as a safe place for people to carry out armed robbery, with little chance of being caught by the police. This wave of armed robbery stretches from high street banks to the local corner shop.",LAWANDORDER,sit_icons_armedrobbery.dds,An epidemic of armed robbery is sweeping the nation.,Great news from the bureau of crime statistics! There has been a noticeable fall in the incidence of armed robberies. Our shopkeepers will be breaking out the champagne!,0,0.6,0.4,0,0,"_default_,0",,#,,,,,,,,,,,,,,,,
#,AsthmaEpidemic,Asthma Epidemic,"Asthma and other lung diseases are a serious problem amongst our citizens. Not only does this obviously severely impact their quality of life, but its also reducing our productivity, and filling our hospital beds. Poor air quality, possibly caused by factory pollution and car fumes, together with smoking are the likely causes.",WELFARE,sit_icons_asthmaepidemic.dds,"An asthma epidemic is sweeping through the nation's children, asthma is now a common problem.",Good news on the health front! Doctors are happy to report that asthma levels have dropped significantly and are back to acceptable levels.,0,0.6,0.4,0,0,"_default_,0.8",,"Environment,0-(0.6*x)","CarUsage,0 + (0.2*x)",#,"WorkerProductivity,-0.02-(0.03*x)","Parents,-0.4-(0*x)",,,,,,,,,,,,
#,BlackMarket,Black Market,"Every economy has a black market, but the situation has started to get out of control. People are increasingly working for cash in order to dodge paying income and corporation tax, and people who are claiming state benefits are also working and not declaring the income. This may be a sign that the citizens consider themselves over taxed and not sufficiently supported by the state.",TAX,sit_icons_blackmarket.dds,Fraud experts at the tax office tell you that we have a significant 'black market' with people avoiding paying the correct amount of tax,Official tax department reports indicate a significant drop in the size of the 'black market' of untaxed work. A smaller black market will have a beneficial knock-on effect on the crime rate.,0,0.5,0.4,0,0,,,"CorporationTax,0+(0.3*x),4","IncomeTax,-0.13+(0.72*x),4","UnemployedBenefit,0-(0.2*x)","SalesTax,0+(0.34*x),4",#,"CrimeRate,0.05+(0.05*x)","IncomeTax_income,1.0-(0.03*x)","SalesTax_income,1.0-(0.03*x)","CorporationTax_income,1.0-(0.03*x)",,,,,,,,
#,BrainDrain,Brain Drain,Our tax system is encouraging the best and brightest entrepreneurs to leave the country altogether and make money elsewhere. As a result we are losing out both on their knowledge and skills and also the potential tax revenue from them and their companies. This may be a sign that we are overtaxing the wealthy and successful.,PUBLICSERVICES,sit_icons_braindrain.dds,"There has been a sudden huge leap in the number of our skilled citizens leaving the country to work elsewhere, tempted by better prospects abroad.",The 'Brain Drain' is coming to an end as we persuade our best and brightest citizens to make this country their home. This will keep businesses happy and no doubt boost our GDP.,0,0.6,0.4,0,0,,,"IncomeTax,1.0*(x^5)","LuxuryGoodsTax,0+(0.5*x),4","TaxShelters,-0.2-(0.3*x),4",,#,"GDP,0-(0.05*x),2","Capitalist_freq,0-(0.15*x)",,,,,,,,,,
#,ClassWarfare,Class Warfare,"Inequality has grown so stark that people have actually taken to the streets to redress the difference between rich and poor. Burning cars, smashed windows, angry mobs, this is a sign of society literally collapsing around us.",ECONOMY,sit_icons_classwarfare.dds,"Violent gangs have taken the issue of 'class war' to the streets, with major companies and wealthy areas being the target of violence and vandalism.","Security chiefs report that the class-war that has plagued our streets is now over. This is great news as it means less crime, and obviously our wealthier citizens will be especially relieved that this threat is over.",0,0.5,0.4,0,0,,,#,,,,,,,,,,,,,,,,
