t,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,
#,AbortionLaw,Abortion Law,abortion,"Few areas of policy incite stronger emotions that the debate over abortion. On the 'pro-life' side, are arguments about the rights of the unborn child, and arguments are often made from a  religious standpoint. On the 'pro-choice' side, there is the argument that the State should not have more say over what a woman does with her body than she does. Making any change to the States position on abortion requires a hefty amount of political capital.",,0,0,30,30,WELFARE,0,0,,1,0,0,,#Effects,"Religious,0.2-(x^5)","Liberal,0.2+(x-1)^5","Conservatives,0.2-(0.4*x)","_Terrorism,0+(Religious_freq*x)",,,,,
#,Bandivorce,Ban Divorce,bandivorce,The holy institution of marriage was not meant to be severed by anything other than death. Nowadays people divorce for the silliest things and this threatens whole families and the well being of our children even though often husband and wife just have to toughen through the hard part. Banning divorces will give marriage back it's true meaning.,,15,10,15,5,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Conservatives,0.06+(x*0.05)","Religious,0.08+(x*0.12)","Liberal,-0.06-(x*0.1)","Religious_freq,-0.01-(x*0.02),8",,,,,
#,Banforeignchurchservice,Ban Foreign Church Service,foreignchurchban,"Misunderstandings can lead to tragedies and nothing has caused more trouble and deaths in the past than religious conflict. The easiest way to prevent further trouble here is to ban foreign church service outright, avoiding further misunderstandings and unrest.",,15,16,12,12,PUBLICSERVICES,0,0,,2,0,0,,#Effects,"Religious,0.04+(x*0.20)","Liberal,-0.04-(x*0.11)","EthnicMinorities,-0.07-(x*0.43)","Immigration,-0.03-(x*0.7),2","RacialTension,0.05+(x*0.25)",,,,
#,Banhomosexuality,Ban Homosexuality,banhomosexuality,"According to many religious texts, homosexuality is a sin. In order to combat this, banning homosexuality might convince many sinners to get their life back on track and follow the natural order that God intended.",,10,25,15,15,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.08+(x*0.07)","Liberal,-0.14-(x^2)*0.28","Conservatives,0.04+(x*0.04)","CrimeRate,0+(x^4)*0.03,4","Religious_freq,-0.02-(x*0.04),8",,,,
#,Banprivateeducation,Ban Private Education,ban,"To make sure that school kids learn the right things and are not influenced by strange ideas, banning all private schools may be the  right thing to do. Now that no more so called elite schools exist, every kid has now the same chance to learn and become something great, boosting equality in the process, as children from all classes and income levels mix together.",,30,15,10,10,WELFARE,0,0,,4,0,0,,#Effects,"PrivateSchools,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.06*(x^0.5)","_global_socialism,0.06*(x^0.5),12","ClassWarfare,0-(0.10*x),8","Capitalist,-0.05-(0.12*x)","Wealthy,-0.04-(0.11*x)",,
#,Banprivatehealthcare,Ban Private Healthcare,ban,Why should some people enjoy better or experimental healthcare while others have to toughen it out? Banning private healthcare will make sure that no one gets special treatment while everyone gets what is needed for him or her to get well again. Nobody's health should be determined by the size of their bank balance.,,30,15,10,10,WELFARE,0,0,,4,0,0,,#Effects,"PrivateHealthcare,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.07*(x^0.5)","_global_socialism,0.06*(x^0.5),12","Capitalist,-0.11*(x^0.5)","Wealthy,-0.05-(0.13*x)",,,
#,BanSecondHomeOwnership,Ban Second Home Ownership,ban,"The laws of physics dictate that a person can only be in one place at once. So why would people have the need for two homes? With this policy, owning more than one house is outlawed and empty property will be seized by the government, greatly increasing social equality and giving more people a good home.",,30,10,10,10,ECONOMY,5,12,,4,0,0,,#Effects,"Wealthy,-0.21*(x^0.5)","Capitalist,-0.11*(x^0.5)","Poor,0.08*(x^0.9)","Socialist,0.07*(x^0.5)","Homelessness,-0.17*(x^0.5),4","Equality,0.08*(x^2)",,,
#,BanSundayShopping,Ban Sunday Shopping,default,The Christian religion generally recognizes the 'Sabbath' as a 'day of rest' and many religious people believe that there should be no shopping carried out on that day. Some trade unions also believe that an enforced day of rest prevents its members being exploited.,,10,20,0,0,ECONOMY,0,0,,1,0,0,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)",,,,,
#,CapCEOPayMultiplier,Cap CEO Pay Multiplier,ceopay,"Nobody disputes that the job of CEO of a large company is hard, but the current level of pay for executives is out of control and is causing huge anger among the lower paid. A cap on CEO pay is entirely reasonable in a just and fair society.",,25,15,10,10,ECONOMY,0,0,,2,0,0,,#Effects,"Capitalist,-0.18*(x+0.25)^3","Socialist,0.15*(x+0.39)^3","Wealthy_income,-0.21*(x+0.32)^4","CorporateExodus,+0.29*(x^3),4","Uncompetitive Economy,0.14*(x^2),4","BrainDrain,0.29*(x+0.1)^3,4","Equality,0.15*(x+0.2)^4","Wealthy,-0.32*(x^3)","_global_socialism,0.05*(x+0.23)^4,8"
#,Closeairportscompletely,Close Airports Completely,closeairports,"An extreme measure to fight pollution, closing down all airports will have severe effects on trade, foreign relations and tourism but will cause much less pollution and increase the usage of other transportation. In this modern day, we simply cannot turn a blind eye to the damage to the environment that is being done by our air travel industry. Desperate times call for desperate measures.",,40,20,5,5,TRANSPORT,0,0,,2,0,0,,#Effects,"AirTravel,-0.6-(x^2)*0.8","InternationalTrade,-0.1-(x^2)*0.24,6","ForeignRelations,-0.04-(x^2)*0.04,6","Tourism,-0.1-(x^2)*0.25,6","Environmentalist,0.08+(x^2)*0.2","Environment,0.02+(x^2)*0.04","GDP,-0.03-(x^2)*0.06,2","Immigration,-0.1-(x^2)*0.21",
