,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,
#,GovernmentSubsidiesForUnions,Government Subsidies For Unions,default,"Trade unions provide a vital service to our nation, and it is in the collective interests of the people that they be encouraged and supported throughout all industries and workplaces. Therefore the government should provide funding, from taxation to support their activities.",,19,12,4,8,ECONOMY,60,350,,2,0,0,,#Effects,"TradeUnionist,0+(0.25*x)","Capitalist,0-(0.12*x)","_global_socialism,0.024+(0.058*x),8","TradeUnionist_freq,0+(0.12*x),4","TradeUnionist_income,0+(0.09*x)","Wages,0+(0.04*x),4",,,
#,SecretCourts,Secret Courts,secretcourts,"To combat modern terrorism and crime, it is sometimes necessary to keep things from the public. For that, secret courts are established and controlled by government officials to assure that the law is followed and not broken. We cannot effectively fight terrorism and serious crime if our secret services methods get exposed in open courts.",,38,14,10,10,LAWANDORDER,30,100,,2,0,0,,#Effects,"Liberal,-0.1+(x^2)*-0.25","CrimeRate,-0.02+(x^0.7)*-0.07,4","_Terrorism,-0.03+(x^2)*-0.14,4","ForeignRelations,-0.05+(x^2)*-0.11,4","Organised Crime,-0.12*(x^4),2",,,,
#,GeneralMediaCensorship,General Media Censorship,censorship,"There are times when an outraged public is counterproductive to the well-being of a democracy. Enabling  general media censorship can prevent bad rumors and speculation from spiraling out of control and while it limits civil rights, less violence and fear might be worth the effort. We do not wish to give antisocial extremists the free use of our media to create unrest.",,35,12,12,12,LAWANDORDER,50,210,,1,0,0,,#Effects,"Liberal,-0.23*(x^2)","Conservatives,0+(0.09*x)","_Terrorism,0-(x*0.07),4",,,,,,
#,TortureUsageBySecretServices,Torture Usage By Secret Services,torturedevices,"Terrorists are tough customers and to prevent some attacks, extraordinary measures sometimes have to be deployed. While it is never 100% clear how much crime and terrorism can be reduced by such a policy, surely it makes sense to not fight such enemies with one hand tied behind the back of our security services? You have to fight fire with fire.",,40,10,10,10,LAWANDORDER,30,100,,4,0,0,,#Effects,"Liberal,-0.10+(x^2)*-0.2","ForeignRelations,-0.02+(x^2)*-0.09","_Terrorism,-0.02+(x^2)*-0.10,4","Patriot,0.02+(x^0.5)*0.06","Conservatives,0.03+(x^0.5)*0.03","Organised Crime,-0.01+(x^4)*-0.12,2","ViolentCrimeRate,-0.11*(x^4),2",,
#,CapCEOPayMultiplier,Cap CEO Pay Multiplier,ceopay,"Nobody disputes that the job of CEO of a large company is hard, but the current level of pay for executives is out of control and is causing huge anger among the lower paid. A cap on CEO pay is entirely reasonable in a just and fair society.",,25,16,9,9,ECONOMY,0,0,,2,0,0,,#Effects,"Capitalist,-0.18*(x+0.25)^3","Socialist,0.15*(x+0.39)^3","Wealthy_income,-0.21*(x+0.32)^4","CorporateExodus,+0.29*(x^3),4","Uncompetitive Economy,0.14*(x^2),4","BrainDrain,0.29*(x+0.1)^3,4","Equality,0.15*(x+0.2)^4","Wealthy,-0.32*(x^3)","_global_socialism,0.05*(x+0.23)^4,8"
#,BanSecondHomeOwnership,Ban Second Home Ownership,ban,"The laws of physics dictate that a person can only be in one place at once. So why would people have the need for two homes? With this policy, owning more than one house is outlawed and empty property will be seized by the government, greatly increasing social equality and giving more people a good home.",,28,10,9,9,WELFARE,5,12,,4,0,0,,#Effects,"Wealthy,-0.21*(x^0.5)","Capitalist,-0.11*(x^0.5)","Poor,0.08*(x^0.9)","PovertyRate,0-(x*0.06)","Socialist,0.07*(x^0.5)","Homelessness,-0.17*(x^0.5),4","Equality,0.08*(x^2)",,
#,Banprivateeducation,Ban Private Education,ban,"To make sure that school kids learn the right things and are not influenced by strange ideas, banning all private schools may be the  right thing to do. Now that no more so called elite schools exist, every kid has now the same chance to learn and become something great, boosting equality in the process, as children from all classes and income levels mix together.",,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateSchools,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.06*(x^0.5)","_global_socialism,0.06*(x^0.5),12","ClassWarfare,0-(0.10*x),8","Capitalist,-0.05-(0.12*x)","Wealthy,-0.04-(0.11*x)",,
#,Banprivatehealthcare,Ban Private Healthcare,ban,Why should some people enjoy better or experimental healthcare while others have to toughen it out? Banning private healthcare will make sure that no one gets special treatment while everyone gets what is needed for him or her to get well again. Nobody's health should be determined by the size of their bank balance.,,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateHealthcare,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.07*(x^0.5)","_global_socialism,0.06*(x^0.5),12","Capitalist,-0.11*(x^0.5)","Wealthy,-0.05-(0.13*x)",,,
#,Tradeunionbansatcompanies,Trade Union Restrictions,unionban,"Companies face a lot of challenges in our modern times. Trade Unions often add to these challenges with their demands and needs, so banning these organizations will help the management focus on making the company competitive and maximize earnings. Of course the workers still have their rights, they just have to earn them without the backing of a wasteful institution.",,32,13,15,15,ECONOMY,0,0,,4,0,0,,#Effects,"TradeUnionist,-0.04-(0.32*x)","Capitalist,0.02+(0.07*x)","WorkerProductivity,0.01+(0.07*x),4","_global_socialism,0+(x*-0.10),8","TradeUnionist_freq,-0.1-(x*0.98)^2,4","WorkingWeek,0.12*(x^2),4","Wages,0-(0.07*x),4",,
#,Compulsoryworkfortheunemployed ,Compulsory Work For The Unemployed ,workforunemployed,"Everyone receiving unemployment benefits now has to do some work every week or risk a payment cut in their benefits. This includes public beautification, collecting litter and other tasks that do not risk any jobs. The goal is to make use of this major workforce and get people back into a work routine, hopefully resulting in them getting jobs soon. Nobody should expect to lvie off the state without working.",,25,16,12,12,WELFARE,25,110,,4,0,0,,#Effects,"Poor,-0.12*(x^Unemployment)","Socialist,-0.12*(x^0.5)","GDP,0.03*(x^0.5),4","MiddleIncome,0.02+(x*0.05),4","Capitalist,0.03+(x*0.06)","Unemployment,0-(0.05*x),7",,,
